Name,ID,Curator,Followers
Most Necessary ,37i9dQZF1DX2RxBh64BHjQ,Spotify ,2144401
I Love My '00s R&B ,37i9dQZF1DWYmmr74INQlb,Spotify ,2118425
Infinite Acoustic ,37i9dQZF1DX6z20IXmBjWI,Spotify ,2072488
The Most Beautiful Songs in the World ,37i9dQZF1DX9Z3vMB2b8im,Spotify ,2060300
Trap Nation ,0NCspsyf0OS4BsPgGhkQXM,Trap Nation ,2039416
Life Sucks ,37i9dQZF1DX3YSRoSdA634,Spotify ,2028877
Young Wild & Free ,37i9dQZF1DX843Qf4lrFtZ,Spotify ,1981926
Gold School ,37i9dQZF1DWVA1Gq4XHa6U,Spotify ,1980722
It's a Hit! ,37i9dQZF1DWT1y71ZcMPe5,Spotify ,1974118
90s Smash Hits ,3C64V048fGyQfCjmu9TIGA,Filtr US ,1958405
Ultimate Indie ,37i9dQZF1DX2Nc3B70tvx0,Spotify ,1944891
K-Pop Daebak ,37i9dQZF1DX9tPFwDMOaN1,Spotify ,1939622
Coffee Table Jazz ,37i9dQZF1DWVqfgj8NZEp1,Spotify ,1891778
mint Latin ,37i9dQZF1DX07RJCJCOYpi,Spotify ,1888086
I Love My '90s R&B ,37i9dQZF1DX6VDO8a6cQME,Spotify ,1885887
Intense Studying ,37i9dQZF1DX8NTLI2TtZa6,Spotify ,1870673
Hot Rhythmic ,37i9dQZF1DWYs83FtTMQFw,Spotify ,1868762
Dance Rising ,37i9dQZF1DX8tZsk68tuDw,Spotify ,1849010
Hugot ,37i9dQZF1DX12Zn55QZM3w,Spotify ,1833036
Classic Road Trip Songs,37i9dQZF1DX9wC1KY45plY,Spotify ,1825656
Guilty Pleasures,37i9dQZF1DX4pUKG1kS0Ac,Spotify ,1594619
Genre Glitch,37i9dQZF1DWUraJYejk11q,Spotify ,299641
Pop Rising,37i9dQZF1DWUa8ZRTfalHk,Spotify ,1623254
Hype,37i9dQZF1DX4eRPd9frC1m,Spotify ,1714804
Emo Forever,37i9dQZF1DX9wa6XirBPv8,Spotify ,628884
Creamy,37i9dQZF1DXdgz8ZB7c2CP,Spotify ,448954
Bedroom Jams,37i9dQZF1DX0QKpU3cGsyb,Spotify ,999613
One Hit Wonders,37i9dQZF1DX0Ew6u9sRtTY,Spotify ,708779
Signed XOXO,37i9dQZF1DX2A29LI7xHn1,?,?
Love Sex Water,37i9dQZF1DWX3387IZmjNa,?,?
Mind Right,37i9dQZF1DX5hR0J49CmXC,?,?
Channel X,37i9dQZF1DX4y8h9WqDPAE,?,?
Gold Edition,37i9dQZF1DWXnexX7CktaI,?,?
Chilled R&B,37i9dQZF1DX2UgsUIg75Vg,?,?
The Sweet Suite,37i9dQZF1DX2Ma8k80RiMN,?,?
Cali Fire,37i9dQZF1DWSvKsRPPnv5o,?,?
Country Gold,37i9dQZF1DWYnwbYQ5HnZU,?,?
Partyhymnen 2019,37i9dQZF1DX9EM98aZosoy,?,?
Party Deluxe,37i9dQZF1DWVWiyE9VDkCO,?,?
Party Up!,37i9dQZF1DWZz0dmtcndFR,?,?
Party Life,37i9dQZF1DXdnyffTsenNZ,?,?
Sad Songs,37i9dQZF1DX7qK8ma5wgG1,?,?
Sad Songs :(,4EoPt05ztUjVaujcWbUL2Z,?,?
Sad Bops,37i9dQZF1DWZUAeYvs88zc,?,?
Sad Songs Heartbreak Songs,4Sdc0wQI8JxWeUOgKizMg0,?,?
Happy Pop Hits,37i9dQZF1DWVlYsZJXqdym,?,?
Happy Pop,37i9dQZF1DX1H4LbvY4OJi,?,?
Happy Beats,37i9dQZF1DWSf2RDTDayIx,?,?
Happy Tunes,37i9dQZF1DX9u7XXOp0l5L,?,?
Happy Chill Good Time Vibes,37i9dQZF1DXaK0O81Xtkis,?,?
Happy Hour,37i9dQZF1DWZ72qOlbizxi,?,?
Chilled Hits,37i9dQZF1DWVYHdtUb7Wil,?,?
Chillax Ka Muna!,37i9dQZF1DXdUK9FmHZruQ,?,?
Chill Vibes,37i9dQZF1DX889U0CL85jj,?,?
Chill af,37i9dQZF1DX5D8j6p4CXZT,?,?
Chilled Pop Hits,37i9dQZF1DX1IeqVkK7Ebc,?,?
Fresh and Chill,37i9dQZF1DX5CdVP4rz81C,?,?
Pop Chillout,37i9dQZF1DXbIGqYf7WDxP,?,?
Chill Your Mind,7wDZ5nB0Wb1tcoloILplN8,?,?
Chilled Afternoon,37i9dQZF1DX5qwHeIGQ14o,?,?
Chill Out,65p90fEsFYGyT3zU5ELmCh,?,?
Intense Workout & Crossfit,5awz8AeJDT5tL4tRgztxgx,?,?
Workout Hits,37i9dQZF1DWVciwe52Zt0R,?,?
Workout/Rap,0mW4R77jxPXSrkH6NqFIkk,?,?
Workout Motivation Hip Hop Rap,2YLYJT19TUBMD4eDQEnivw,?,?
Rap Workout,37i9dQZF1DX76t638V6CA8,?,?
Workout Twerkout,37i9dQZF1DX0HRj9P7NxeE,?,?
Top Hits Workout,37i9dQZF1DX73EtbU4jEcn,?,?
Raising the Bar,37i9dQZF1DXdURFimg6Blm,?,?
Hip Hop Workout Mix,37i9dQZF1DX9s3cYAeKW5d,?,?
Sleeping Music,5iL9NYIEfckRxTJEJ93p2T,?,?
Sleepy Time,vcd3h2r0xjp4s3f3wjt0ljgbz,?,?
sleep playlist,3c4fhKtgwp1kBAFWKeudzz,?,?
